,id,totalValueLockedUSD,token0,token1,feeTier,volumeUSD,liquidity,token0Price,token1Price,volumeToken0,volumeToken1,feesUSD,createdAtTimestamp,createdAtBlockNumber,totalValueLockedToken0,totalValueLockedToken1,tick
0,0x07a72f8f6a29cf501e7226ca82264f9ee79380e7,244163.3365314911835090629780781363,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,17424427.52941640157101219208058142,201716626792300886274495634,9742037942.97978486460880148181164,0.0000000001026479270408313828246353683771027,13331621732191.842597703044019091,9185.039099854768940332,174244.2752941640157101219208058142,1689737351,17724572,873570916854.70309169946384435,66.522695824262406773,-230009
1,0x5630ab57ee56ea296833d90cc7d96b6cb5bd2585,0,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,0,3377903268963375,1823.654638781152591920111193006651,0.0005483494400389068698410352741127116,41185.550215,19.636624085885389828,0,1684870007,17323993,964.018535,10.618612631862619106,201234
2,0x657979310186d5e48d6f2df2be8ca4259d178554,0.3403846856661571105607170485347474,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,501.0228896700756246937408747942875,0,340256786540325233929710090404719700000000000000000,0.000000000000000000000000000000000000000000000000002938956810142818059917450894998607,502.803633,0.271042378606343126,1.503068669010226874081222624382862,1684869311,17323935,29733.15768,0.000180899929408207,-887272
3,0x11c990d06df093fb7361356b16985051a65ebe2e,2.64617555138815104409992207967245,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,1.013692205769444712901699316708845,24947767430131926698,1623.002402731911172971885679267746,0.0006161420330103977023578536337886674,1,0.000620950319765717,0.01013692205769444712901699316708845,1674476663,16469484,9999999.735103,0.001620949185007755,202400
4,0xe0554a476a092703abdb3ef35c80e0d76d32939f,949250.9516008366633873257927362562,{'symbol': 'USDC'},{'symbol': 'WETH'},100,9384770871.042578018883171306932042,566751151282459,1543.199429112398016891863360457959,0.0006480043869476869745328633854353248,9387310460.629786,6043210.094165526573852592,938477.0871042578018883171306932042,1636926269,13616454,471462.996537,310.455510048346038813,202904
5,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
6,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
7,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x5630ab57ee56ea296833d90cc7d96b6cb5bd2585,0,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,0,3377903268963375,1823.654638781152591920111193006651,0.0005483494400389068698410352741127116,41185.550215,19.636624085885389828,0,1684870007,17323993,964.018535,10.618612631862619106,201234
1,0x657979310186d5e48d6f2df2be8ca4259d178554,0.3403846856661571105607170485347474,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,501.0228896700756246937408747942875,0,340256786540325233929710090404719700000000000000000,0.000000000000000000000000000000000000000000000000002938956810142818059917450894998607,502.803633,0.271042378606343126,1.503068669010226874081222624382862,1684869311,17323935,29733.15768,0.000180899929408207,-887272
2,0x11c990d06df093fb7361356b16985051a65ebe2e,2.64617555138815104409992207967245,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,1.013692205769444712901699316708845,24947767430131926698,1623.002402731911172971885679267746,0.0006161420330103977023578536337886674,1,0.000620950319765717,0.01013692205769444712901699316708845,1674476663,16469484,9999999.735103,0.001620949185007755,202400
3,0xe0554a476a092703abdb3ef35c80e0d76d32939f,949250.9516008366633873257927362562,{'symbol': 'USDC'},{'symbol': 'WETH'},100,9384770871.042578018883171306932042,566751151282459,1543.199429112398016891863360457959,0.0006480043869476869745328633854353248,9387310460.629786,6043210.094165526573852592,938477.0871042578018883171306932042,1636926269,13616454,471462.996537,310.455510048346038813,202904
4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
5,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
6,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x657979310186d5e48d6f2df2be8ca4259d178554,0.3403846856661571105607170485347474,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,501.0228896700756246937408747942875,0,340256786540325233929710090404719700000000000000000,0.000000000000000000000000000000000000000000000000002938956810142818059917450894998607,502.803633,0.271042378606343126,1.503068669010226874081222624382862,1684869311,17323935,29733.15768,0.000180899929408207,-887272
1,0x11c990d06df093fb7361356b16985051a65ebe2e,2.64617555138815104409992207967245,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,1.013692205769444712901699316708845,24947767430131926698,1623.002402731911172971885679267746,0.0006161420330103977023578536337886674,1,0.000620950319765717,0.01013692205769444712901699316708845,1674476663,16469484,9999999.735103,0.001620949185007755,202400
2,0xe0554a476a092703abdb3ef35c80e0d76d32939f,949250.9516008366633873257927362562,{'symbol': 'USDC'},{'symbol': 'WETH'},100,9384770871.042578018883171306932042,566751151282459,1543.199429112398016891863360457959,0.0006480043869476869745328633854353248,9387310460.629786,6043210.094165526573852592,938477.0871042578018883171306932042,1636926269,13616454,471462.996537,310.455510048346038813,202904
3,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
4,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
5,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x11c990d06df093fb7361356b16985051a65ebe2e,2.64617555138815104409992207967245,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,1.013692205769444712901699316708845,24947767430131926698,1623.002402731911172971885679267746,0.0006161420330103977023578536337886674,1,0.000620950319765717,0.01013692205769444712901699316708845,1674476663,16469484,9999999.735103,0.001620949185007755,202400
1,0xe0554a476a092703abdb3ef35c80e0d76d32939f,949250.9516008366633873257927362562,{'symbol': 'USDC'},{'symbol': 'WETH'},100,9384770871.042578018883171306932042,566751151282459,1543.199429112398016891863360457959,0.0006480043869476869745328633854353248,9387310460.629786,6043210.094165526573852592,938477.0871042578018883171306932042,1636926269,13616454,471462.996537,310.455510048346038813,202904
2,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
3,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
4,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0xe0554a476a092703abdb3ef35c80e0d76d32939f,949250.9516008366633873257927362562,{'symbol': 'USDC'},{'symbol': 'WETH'},100,9384770871.042578018883171306932042,566751151282459,1543.199429112398016891863360457959,0.0006480043869476869745328633854353248,9387310460.629786,6043210.094165526573852592,938477.0871042578018883171306932042,1636926269,13616454,471462.996537,310.455510048346038813,202904
1,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
2,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
3,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,380741614.2412037918359499522166684,{'symbol': 'USDC'},{'symbol': 'WETH'},500,401917487648.1444288660684037654042,68715459676556048906,1544.724173610149575626505684090752,0.0006473647639389991367779719768013903,401890747043.32519,195282034.569094445551682549,200958743.8240722144330342018827729,1620250931,12376729,173249671.258923,134676.709610171071635878,202894
1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
2,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,246011288.4032251274830292479240119,{'symbol': 'USDC'},{'symbol': 'WETH'},3000,71413916892.01159381759194431319913,5568525670410021946,1540.9707396346632790775793672055,0.000648941588752737895662516774825338,71409729989.841337,31848335.738838887055798999,214241750.6760347814527758329395665,1620169800,12370624,125755955.842796,78038.686567753729924025,202918
1,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
0,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,9129269.156276838675058813565477688,{'symbol': 'USDC'},{'symbol': 'WETH'},10000,838136651.169592526814510302046364,85726377651171776,1537.081275721440533118937037135939,0.0006505836846725249188214664811694666,838447607.346572,405274.866001726428575743,8381366.51169592526814510302046364,1620158865,12369811,4432956.352163,3076.849144955571898168,202943
